batch,ts,model,input_tokens,output_tokens,est_cost_usd,n_records,ids
1,2026-04-30T15:38:08+00:00,claude-haiku-4-5-20251001,5030,1293,0.0029,10,"techport_10020,techport_10030,techport_10043,techport_10064,techport_10065,techport_10066,techport_10067,techport_10070,techport_10100,techport_10106"
2,2026-04-30T15:38:19+00:00,claude-haiku-4-5-20251001,5064,1744,0.0034,10,"techport_10114,techport_10131,techport_10160,techport_10179,techport_101819,techport_10182,techport_101826,techport_101829,techport_10183,techport_101832"
3,2026-04-30T15:38:34+00:00,claude-haiku-4-5-20251001,5601,1960,0.0039,10,"techport_101841,techport_10185,techport_101866,techport_101867,techport_10187,techport_101872,techport_101878,techport_101879,techport_101887,techport_10189"
4,2026-04-30T15:38:50+00:00,claude-haiku-4-5-20251001,5348,1541,0.0033,10,"techport_101891,techport_10190,techport_101900,techport_101914,techport_10192,techport_101921,techport_101922,techport_10193,techport_101933,techport_101938"
5,2026-04-30T15:39:01+00:00,claude-haiku-4-5-20251001,5174,1842,0.0036,10,"techport_101939,techport_10195,techport_10196,techport_10197,techport_101999,techport_102000,techport_102001,techport_102003,techport_102007,techport_10202"
1,2026-04-30T15:40:46+00:00,claude-haiku-4-5-20251001,6558,2162,0.0043,10,"techport_102020,techport_102023,techport_102027,techport_102028,techport_102029,techport_102030,techport_102031,techport_102034,techport_102057,techport_10206"
2,2026-04-30T15:41:04+00:00,claude-haiku-4-5-20251001,6036,1658,0.0036,10,"techport_102061,techport_102072,techport_102073,techport_10208,techport_102087,techport_102096,techport_102128,techport_102131,techport_102133,techport_102137"
3,2026-04-30T15:41:20+00:00,claude-haiku-4-5-20251001,5710,1489,0.0033,10,"techport_102139,techport_102140,techport_102144,techport_102145,techport_102146,techport_102151,techport_102152,techport_10216,techport_102161,techport_102173"
4,2026-04-30T15:41:32+00:00,claude-haiku-4-5-20251001,5683,1521,0.0033,10,"techport_102174,techport_102175,techport_102176,techport_10218,techport_102180,techport_102182,techport_102183,techport_10220,techport_10221,techport_102224"
5,2026-04-30T15:41:43+00:00,claude-haiku-4-5-20251001,6064,2150,0.0042,10,"techport_102225,techport_102227,techport_102228,techport_102229,techport_10223,techport_102267,techport_102268,techport_102274,techport_102275,techport_102276"
6,2026-04-30T15:41:58+00:00,claude-haiku-4-5-20251001,5022,1384,0.0030,10,"techport_102278,techport_102318,techport_102333,techport_10234,techport_102340,techport_102341,techport_102343,techport_10235,techport_10236,techport_102373"
